Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
22/12/2016,-0.00574918,-0.01331462,0.00352379,0.00522054,-0.01218556,-0.01632172,0.00086959,-0.00559881,0.00311064,0.00030971,0.00185811,0.00358912,0.01116371,0.00083338,0.00662883,-0.01611586,-0.00025449,-0.00268251,-0.00626867,0.00694622,-0.01689515,-0.0322693,-0.01605351,-0.04251896,-0.01491736, -   
23/12/2016,-0.00486229,-0.0086682,0.00986248,0.00078478,-0.01930711,-0.00555556,0.00078003,-0.00634893,-0.00594125,-0.00321875,0.00246841,0.0032019,0.00167761,-0.00389721,-0.00303841,-0.00731133,-0.00498253,-0.00306896,-0.00406179,0.00696986,-0.00670271,-0.02950478,-0.0078072,-0.0250591,-0.01550804,-0.00413214
26/12/2016,-0.00947683,-0.02064627,0.00198972,-0.01920084,-0.01972814,-0.01666667,-0.00164629,-0.01925719,-0.00693143,-0.00940841,0.00215981,-0.00076857,-0.00503273,-0.00708559,-0.00607649,-0.01787162,-0.00599606,-0.00968639,-0.0073855,-0.0041487,-0.01149055,-0.03231471,-0.01391718,-0.04255319,-0.02085567,-0.02479338
27/12/2016,-0.01209056,-0.01692784,-0.00600755,-0.01772334,-0.01528609,-0.01633037,-0.00586751,-0.02006974,-0.00627535,-0.01972332,-0.00276314,-0.00319418,-0.0057739,-0.00963517,-0.00468078,-0.01733932,-0.00675108,-0.01890736,-0.0152404,-0.00629255,-0.00609747,-0.03095331,0.00034435,-0.05063291,-0.02137885,-0.02479338
28/12/2016,-0.005462,-0.0129337,-0.01165752,-0.02908857,-0.00979148,-0.01125307,-0.00034512,-0.00654101,0.00231596,-0.0043784,0.01538454,0.01403049,0.01771381,-0.00236971,0.00867503,-0.0134771,-0.0038881,-0.00066288,0.01509375,-0.00517888,-0.01149779,0.02152081,0.01702417,-0.00542581,-0.00638635,-0.01632644
29/12/2016,0.00944654,-0.00890874,-0.00369255,-0.01970482,0.00091502,0.01444444,0.00364469,0.00678025,-0.00233063,-0.00006161,0.02778644,0.02114908,0.01735408,0.00308624,0.00564328,-0.00273899,-0.00160991,0.01216359,0.0238978,0.0124553,0.00421527,0.05861085,0.04374573,0.02360877,0.02925244,0.02083332
30/12/2016,0.00772336,-0.01048284,-0.00034299,0.01823946,0.00085805,0.03495004,0.00915376,0.01221349,-0.01643899,0.00501965,0.03927053,0.03391558,0.02035478,0.01057363,-0.0025723,-0.01195985,-0.00110701,0.00076775,0.01623129,0.01321212,-0.01026634,0.11535692,0.03875171,0.04320388,0.0221624,0.00823045
02/01/2017,0.01126749,-0.00190597,0.01080152,0.03851423,0.00153224,0.05845019,0.00431789,0.0273901,-0.01699444,0.00644501,0.0352503,0.04819566,0.00520867,0.01021727,-0.0224454,-0.00842629,-0.00510908,-0.00652591,0.02191225,0.01172576,-0.00128338,0.09841386,0.04492455,0.04296117,0.03135158,0.00823045
03/01/2017,0.00769685,-0.00238881,0.02754738,0.05145662,-0.01411707,0.07644575,0.00431854,0.03317429,-0.04288557,0.00508911,0.02354735,0.03796346,-0.01329252,0.00619933,-0.03316475, -   ,-0.02145638,-0.02147268,0.01773392,0.00605454,0.00129152,0.10299964,0.03851397,0.02098914,0.02168024,0.03765679
04/01/2017,0.0032278,0.00224073,0.02813977,0.04946004,-0.01812101,0.05784772,0.00571425,0.01990394,-0.05695797,-0.00474279,0.00935688,0.02353981,-0.02248252,-0.01136765,-0.03855828,-0.00463068,-0.02913597,-0.03006239,0.00547634,-0.02027091,-0.02000646,0.04653611,0.0185738,-0.00834128,0.01336205,0.03734446
