Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
01/12/2016,-0.0037361,-0.0143072,-0.0042131,-0.0160418,0.0114862,-0.0251732,0.005388,-0.0180977,-0.0106844,0.0101183,-0.019225,-0.0238494,0.0002009,0.0023109,-0.0005177,-0.0200805,0.0018619,-0.0245207,0.0171773,-0.0096413,-0.0183045,-0.0506971,-0.025,-0.0126773,-0.0413354,0.0083682
02/12/2016,0.0062023,0.0192959,-0.0005495,0.0214689,0.0009997,0.0201546,0.0019691,0.0214201,0.0033261,-0.0209316,0.0015855,0.0253318,-0.0050001,0.0077716,-0.0054065,0.0198694,0.0004416,0.0213519,-0.0035114,-0.0023668,-0.0161289,-0.0177924,0.003628,-0.0024049,0.024323, -   
05/12/2016,0.0052621,0.0041876,-0.0004547,0.0264698,0.0068019,0.0117292,-0.0030248,0.008026,0.0019453,-0.0179163,-0.0056711,0.0062637,0.0124649,0.0042516,0.0167958,0.0119496,-0.0055559,0.007312,-0.0059757,-0.0032276,-0.0055665,-0.0324826,0.0245033,0.0130986,0.0313017, -   
06/12/2016,0.0154445,0.0155552,0.0139724,0.0084163,0.0256586,0.0022092,-0.0101567,0.014458,0.009167,0.0077764,-0.014534,0.0175776,0.0245264,0.0112925,0.0430636,0.0322768,0.0182402,0.029961,0.0238025,0.0151756,-0.0182886,-0.0080537,0.0409677,0.0426288,0.0091349,0.0082987
07/12/2016,0.0160445,0.0166639,0.0261762,0.0036361,0.0134,0.0163248,-0.0080436,0.0195141,0.007874,0.0090569,-0.0124481,0.0260125,0.0080835,0.0091856,0.0232971,0.0297087,0.018843,0.0091473,0.0093889,0.0037631,0.0039459,0.0108992,0.05408,0.0192513,0.0143617,0.012448
08/12/2016,0.0082101,0.01093,0.0278729,-0.0041587,-0.0007274,0.0144092,0.0155599,0.0208084,0.0107894,0.0044539,0.027886,-0.006777,0.005075,0.0069222,0.0032297,0.0078917,0.0094133,-0.0149925,0.0086002,0.0025217,0.0250167,-0.0027055,-0.0110911,0.0097128,0.0148305,0.0205761
09/12/2016,0.0032137,0.0161816,0.0088148,-0.0128312,0.0112004,-0.0121624,0.0354546,0.0107594,0.0263989,-0.0001881,0.0414657,-0.0082123,0.0131139,0.0192892,0.0208538,0.0061539,0.0187843,0.0037231,-0.002975,0.0154021,0.0150326,-0.009097,-0.0253776,-0.0273315,-0.0302555,0.0081967
12/12/2016,0.0057065,0.018764,0.0167711,0.0103601,0.0119648,0.0091428,0.0283964,0.0130712,0.0270691,0.0107661,0.0356468,0.0026584,0.01591,0.0115189,0.0197239,0.0285077,-0.0029718,0.0476142,-0.0178419,0.0172832,0.0340203,0.0081604,-0.0200425,-0.034288,-0.0171964,-0.004065
13/12/2016,-0.004436,0.0028798,0.0118588,0.005046,-0.0085891,0.0199389,-0.004674,0.0067701,-0.0142563,-0.0033666,0.0003047,0.0040604,-0.0086405,-0.0035432,-0.0041192,0.014996,-0.0164545,0.0084569,-0.014753,-0.0008611,0.004817,0.0071331,-0.0179845,-0.0238298,0.0010752,-0.0121458
14/12/2016,-0.0027862,-0.0066666,0.0067801,-0.0221651,-0.0051624,0.00475,-0.0019808,-0.0003309,-0.0148492,-0.0032269,-0.0051639,0.0027751,-0.0123905,-0.0071521,0.0048428,0.0024522,0.002913,-0.0092314,-0.0041672,0.0112802,-0.0132325,-0.0205526,-0.0372671,-0.04,-0.0235718,-0.0163264
