Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
27/12/2016,0.001077838,-0.000474353,0,0.0036945,0.001149286,-0.002643472,-0.000603753,0.001089379,0.001323061,0.001410714,0.0027708,0.001535507,0.000186248,-0.000729706,0,-0.001623095,0.000675629,0.003910721,0.003455809,-0.000992695,-0.003517795,0.003175809,-0.008535336,0.006132075,0.00214229,0.004149289
28/12/2016,0.000595007,0.001896379,0.002217111,0.00628727,0.003031222,0.001525294,-0.000258837,0.004197894,-0.000771362,-0.00295138,-0.000922236,0.000638131,-0.000186449,-0.002364132,0,0.000809229,0.000761182,0.002563372,0.00330817,-0.002296314,0.000959014,0.001796616,0.002047083,0.002838893,0.001599345,0
29/12/2016,-0.000186673,-0.002063733,-0.002655078,0.000349682,0.001099237,0.000684229,0.001129488,-0.002784096,-0.002215032,0.002973319,0.001236445,0.00242641,0.002806828,0.00202236,0.000235062,-0.003276001,0.000848095,0.002977906,0,0.000914217,0,0.001812094,-0.005438477,-0.003600576,-0.001622581,-0.004149461
30/12/2016,0.001044788,0.000953784,-0.000685362,0.001725152,0.00067464,0.002105716,0.002684157,0.00041102,-0.003541772,0.002049106,-0.004616926,0.001276614,-0.003535652,-0.002133776,0.002344229,0.003546295,-0.003225205,0.002405002,0.00511658,-0.002142306,0.001606575,0.003981258,-0.0023948,-0.000969932,0.00488836,0.008298664
02/01/2017,0.005708339,0.013196041,0.007166376,0.02213717,0.00110443,0.013428944,0.005121008,0.013578144,-0.002548213,0.008310361,-0.004310406,0.00525521,0.003184783,0.001070507,0.005408054,0.01433688,-0.002208851,0.009103235,0.00848216,0.008998654,0.006457856,0.00689659,0.003786575,0.017283951,0.010376591,0.029661001
03/01/2017,0.005690472,0.010460283,-0.000172543,0.010735194,0.008344582,0.008518036,0.004947371,0.010309799,0.007533723,0.006810955,0.006773433,0.009484903,0.010865514,-0.002378728,0.003762221,0.009374,0.005777413,0.019271741,0.011160527,0.004582652,0,0.004355771,0.009982788,0.02345679,0.007646123,0.012711946
04/01/2017,0.001669745,-0.001598065,-0.002582853,0.006262688,0.003784411,0.005904501,-0.002935096,0.002326704,0.00253049,0.005574435,0.003939662,-0.000754729,-0.000549571,0.002969236,-0.001859524,0.003005412,0.004751808,0.002368995,0.001660328,0.006858436,0.001292355,0.003511225,0.009373954,-0.004743833,0.00214229,0
05/01/2017,-0.001131785,-0.001765611,-0.00086199,0.005771415,-0.000121892,0.001432303,0.003026434,-0.000334254,0.003337334,-0.000988335,0.002403163,0.002370481,0.004768819,-0.001065109,0.001870393,0.001098569,0.001527663,-0.006434519,-0.002102146,0.00098431,-0.000968829,-0.006835389,0.000327439,0.006119087,-0.005263137,-0.004081631
06/01/2017,0.000943147,0,0.001457885,0.002447306,0.000857318,0.00256899,-0.001625942,0.002423065,0.002710294,-0.002651296,0.001487387,0.002589587,-0.007260166,-0.001398838,-0.004269641,0.003026229,0.001193397,0.001150748,0.004501158,-0.001955917,-0.004538069,0.001616026,0.006602839,0.002093997,0.001586427,0
09/01/2017,-0.001488814,-0.001273032,0.000339093,0.002525157,-0.002264243,0.00113443,0.000429795,0.001405703,-0.003163817,-0.002524562,-0.001493098,0.000851704,-0.000750949,-0.011407738,-0.000725876,0,-0.004707373,0.000193199,0.003537779,0.002040385,0.002569837,-0.002953702,0.003281917,-0.011170584,-0.009434038,0
10/01/2017,0.000361409,0.001436707,-0.001848896,-0.000401546,-0.000123442,-0.000640512,-0.002150079,-0.000132982,0.001493703,-0.004198894,0.003585375,-0.000611641,0.00018982,-0.000710846,-0.003431421,-0.001638881,-0.002417168,-0.002621614,0.004988735,-0.002473159,-0.005482018,-0.000655299,0.0078766,0.001890359,0.000530473,-0.004032172
11/01/2017,-0.000132223,-0.000159678,-0.003106358,-0.002814424,0.000433517,0,-0.000688685,0.00073849,-0.000348991,-0.00173272,-0.002093249,-0.000737853,-0.00265345,-0.001197821,-0.010536484,-0.000820996,0.001652721,-0.002923977,0.003511767,-0.001256378,-0.001317147,0.001003013,0,0.006248498,-0.003164774,-0.00400008
12/01/2017,-0.001837104,-0.00205735,-0.007139874,0.001614478,-0.00141774,-0.003806805,-0.004009525,-0.001783433,0.00529897,-0.001235333,-0.009138023,-0.00916888,-0.000571911,-0.000477713,-0.000984933,-0.003247514,0.004916678,-0.004775093,-0.003317903,-0.000842242,0,-0.005421852,-0.006873977,0.011862396,-0.001614721,-0.003983897
13/01/2017,0.00101302,0.000159703,-0.001174064,0.00083575,0.002478161,0.006870952,0.002791936,0.001772088,-0.000810838,-0.001231947,0.00214722,-0.00430153,0.000759196,0.000119429,-0.002194644,0,-0.002582617,-0.001236682,0.001349993,8.39E-05,-0.001303765,0.00101386,-0.000987492,-0.006117647,0.00269689,0
16/01/2017,-0.000835297,-0.001275925,0.000588002,-0.003451061,-0.000555899,-0.006623033,0.002966845,7.22E-05,-0.000926683,0.002224771,0.004612533,-0.001848084,0.003234965,-0.001904552,-0.000976628,-0.002174677,-0.004468092,-0.005493985,-0.007324492,-0.003597525,0.000979969,0.003387593,0.008976064,0.008114558,-0.006944328,0
17/01/2017,-0.002417965,-0.000319048,-0.005880285,-0.001762244,0.000370599,-0.002337541,-0.005759268,-0.001131249,0.002663535,0.005005991,-0.005227557,-0.005051318,0,-0.001309259,0.000976628,-0.003262073,0.000171868,-0.00511509,-0.004648415,0.000501956,0.008167147,0.009485142,-0.004654255,0.015990453,0.00587619,-0.004016145
18/01/2017,0.000551173,0.002238906,0,-0.000271699,0.002505638,0.004223039,0.000609482,0.002827931,-0.003434048,0.002489774,0.000935585,0.000122916,-0.004171415,0.003069482,0.000972954,0.002445556,-0.005159941,-0.007613498,0.003580475,-8.25E-05,-0.002247253,0.00291169,0.00464499,-0.011398718,0.004188522,0
19/01/2017,4.40E-06,-0.004160126,-0.004916942,0.00312082,0.002056203,0.00242339,-0.000174279,-2.41E-05,-0.003592542,0,0.000936736,0.002451361,0.00574157,-0.003532527,0.002205745,-0.006800628,-0.000431205,-0.000373622,0.002071806,-0.000165539,-0.003901123,0.002625463,0.007836457,0.002399808,0,0
20/01/2017,0.002769814,0.005938991,0.005593577,0.007712845,0.005018506,0.004312034,0.002539249,0.005725584,0.008379575,0.002016588,0.000630865,0.004404493,0.00458367,0.025856083,0.008048759,0.005195315,0.006402269,0.005578669,0.007071697,0.012058183,0.001319644,0.004323377,-0.003767123,0.012013455,0.006451527,0
23/01/2017,-0.001554169,-0.000637539,0,-0.001892791,-0.000124836,0.002125315,0.00315365,0.004153737,-0.002444821,-0.000252226,-0.002832929,-0.001710612,-0.004931596,-0.004116633,0.000241154,0.003519327,-0.004152185,-0.003221833,0.00170755,-0.002404126,0.003661758,0.002331764,-0.00275672,-0.011238642,0.000526076,0
24/01/2017,0.001183118,0.003811968,-0.004413645,0.005037414,0.002833575,0.003490266,-0.008778877,0.003019788,0.000117757,0.001822906,-0.001907206,0.00304314,-0.041117916,0.002989891,-0.014285779,0.001903529,0.003986256,-0.001716902,0.002928174,0.000826363,0.002026393,0.000661367,-0.000351494,0.010932945,0.001066094,-0.004032172
25/01/2017,0.003863916,0.006769547,0.00375096,0.004073245,0.007964161,0.004869753,0.001520989,0.004732028,0.002938224,0.002431159,0.006741652,0.006728099,-0.012370359,-0.00022773,-0.000725257,0.006645705,0.00455437,-0.006051873,0.067661799,-0.000164587,-0.001352286,0.001282512,0.008058865,0.000707214,0.006315994,0
26/01/2017,0.000113124,0.006909607,-0.001722988,-0.001183474,0.003835616,0.001140858,-0.007092326,0.000698934,0.004101178,0.003845257,0.003515483,0.000238399,-0.020494248,-0.000458871,-0.005315471,0.000529058,0.0022178,-0.000772947,0.004313355,-0.001317249,-0.00067117,-0.135931557,0.001365188,0.004470588,-0.00307224,0.003937006
27/01/2017,0.001018862,0.017426624,0.001640028,-0.000178752,6.06E-05,-0.000753125,0.00143061,0.002357115,-0.003504655,0.004608034,0.006074194,0.000961218,0.004682504,-0.001732141,0.005027427,0.011714727,-0.025911648,0.003145553,-0.003139138,-0.003041529,0.002347296,0.002308508,0,-0.006404175,0.001022024,0
30/01/2017,-0.003782646,-0.001368317,-0.008364072,-0.003314309,-0.001216545,-0.004539265,0.000176487,-0.009431618,-0.001052658,-0.000306733,0.001591234,-0.00358117,-0.002217478,0.000692108,-0.001666145,-0.006319056,-0.00562447,0.000288378,-0.002785752,0.003817941,0.005001736,0.008305065,-0.002403021,-0.003590235,-0.005128464,0.003952567
31/01/2017,-0.003016353,-0.004145484,-0.003946271,-0.007984296,-0.000970874,-0.00618415,-0.003005208,-0.005255939,0.002121208,-0.002899402,-0.009581611,-0.018757307,-0.003240854,-0.001383242,-0.003347756,-0.005344961,0.00062593,0.001534036,-0.000201032,0.001080627,0.000335397,-0.001139743,-0.274360746,-0.001246261,0,0
01/02/2017,0.00294883,-0.004563051,0.046806805,0.006958275,0.00371634,0.014809699,-0.006798984,0.004645265,0.001311217,0.004009933,0.00318383,0.002297283,0.006733241,-0.006506801,0.002846302,0,-0.001346941,0.004940148,0.002230083,-0.002999963,-0.007585715,0.002670839,0.007445323,0.008982036,-0.004166592,0
02/02/2017,-0.001254634,-0.005190327,-0.006019472,0.005094011,-0.001833629,-7.51E-05,-0.003621099,-0.000294392,0.003255389,-0.001167668,-0.006315006,-0.003639068,0.003099932,0.003206089,-0.00095087,-0.00711934,0.001531535,0.000481417,-0.006023124,0.003975791,0.002010737,0.003136105,-0.004664179,0.000250689,0,0
03/02/2017,0.00337155,0.005224031,-0.001711567,-0.039561879,0.006134969,0.003057169,-0.000616412,0.005951654,0.002995702,0.002301735,0.012291286,0.041798204,0.003521119,0.004102141,0.007285151,0.007413397,0.001782412,0.009292078,0.003251111,0.014637384,0.002703614,0.003104383,0.000968523,-0.001234263,0.003621215,0
06/02/2017,-0.001366751,-0.002826552,0.000387287,-0.000493705,-0.000365988,0,-0.001583808,0.000963262,0.000119905,-0.002224065,-0.002804746,-0.000116269,0.001852424,0.001029506,0.000485032,-0.000274022,-0.002553454,-0.002176176,-0.004140857,0.003036667,0.003011006,0.013942731,0.012560386,0.001201057,-0.004123639,0
07/02/2017,0.001443801,0.001571282,0.001918741,0.002067753,0.001236079,0.001363017,0.001763615,0.004722378,-0.000960167,0.003364235,0.002792362,0.001514482,0.002082042,0.00274591,0.000487083,0.004962852,0,9.58E-05,0.003534374,0.004281771,0.001338742,0.003858093,0.008737864,-0.012773274,0.004668229,0
08/02/2017,-0.001539414,0.002207237,-0.001368517,0.000233846,-0.000184128,0.005764563,-0.001586229,0.001567719,-0.000366001,-0.003301607,-0.004987579,0.000233233,0.002289948,0.000681732,0.001215835,-0.000274778,-0.002334126,-9.54E-05,0.000602341,0.003191762,0.001333906,0.002318522,0.001465559,-0.011788826,0,0
09/02/2017,0.000884659,0.002841857,0.00136898,0.002305693,0.003438325,0.002160954,0.000617289,0.002229238,0.003927244,0.000187336,0.003733473,0.003290729,0.003101122,-0.000905707,0.001456234,0.003298525,0.002957616,-0.000280741,0.003633366,-7.87E-05,0.000665641,0.001926856,0.008538899,0.01314459,-0.076846635,-0.004016145
10/02/2017,0.00190652,0.002966037,0.000302166,0.002995033,0.003352841,-0.000298196,0.002103761,0.003481676,0.005131943,-0.001994524,0.000926643,0.00257066,0.002663381,-0.001240526,-0.001452434,-0.005640253,0.004364712,0.000464554,0.005786458,-0.004709602,-0.000669242,0.005032899,0.02164901,0.01491078,0.001637757,-0.019607671
13/02/2017,0.002426493,0.003750023,0.007266088,0.005027433,0.004268032,0.003781951,0.000347323,0.003413787,0.003029576,-0.000373196,0.002782138,0.00349231,-0.014495777,0.000795679,-0.013533081,0.0065085,0.002742071,0.001682872,0.001584699,-0.000236074,0.002298772,0.006607125,0.006481481,-0.003591094,0,0.007352937
